CHPProbeSetName	H_ARP1-0h	H_ARP1-2h	H_ARP1-4h	H_ARP1-6h	H_ARP1-8h	H_ARP1-10h	H_ARP1-012h		med£¨£©			B-J	C-J	D-J	E-J	F-J	G-J	H-J			mad()			B-J	C-J	D-J	E-J	F-J	G-J	H-J			U1=(x-med)/9*mad	U2	U3	U4	U5	U6	U7		W1	W2	W3	W4	W5	W6	W7			Z1	Z2	Z3	Z4	Z5	Z6	Z7
AFFX-r2-Hs18SrRNA-5_at	2682.4	950.6	1151	1825	608.2	1658.2	970.1		1151			1531.4	200.4	0	674	542.8	507.2	180.9			507.2			1531.4	-200.4	0	674	-542.8	507.2	-180.9			0.335480196	-0.043901157	0	0.147651595	-0.118909919	0.111111111	-0.039629338		0.523357786	0.952416994	1	0.815589428	0.856349767	0.867076496	0.957356536			801.470113	-190.8643655	0	549.7072744	-464.8266537	439.7811987	-173.1857974
AFFX-r2-Hs28SrRNA-3_at	1708.4	1190.4	1425.2	2171.7	1107.6	2217.4	1586.7		1586.7			121.7	396.3	161.5	585	479.1	630.7	0			396.3			121.7	-396.3	-161.5	585	-479.1	630.7	0			0.034121176	-0.111111111	-0.045279951	0.164017159	-0.134325847	0.176830123	0		0.963631075	0.867076496	0.950809187	0.79160924	0.834716519	0.772495505	1			117.2739019	-343.6224153	-153.5556837	463.0914055	-399.9126843	487.2129153	0
AFFX-r2-Hs28SrRNA-M_at	174.3	125.1	209	335.9	157.2	318.9	259.6		209			34.7	83.9	0	126.9	51.8	109.9	50.6			51.8			-34.7	-83.9	0	126.9	-51.8	109.9	50.6			-0.074431574	-0.17996568	0	0.272200772	-0.111111111	0.235735736	0.108537109		0.915341426	0.76777654	1	0.623944673	0.867076496	0.68168207	0.870583196			-31.76234748	-64.41645174	0	79.17857902	-44.91456249	74.91685953	44.05150974
AFFX-r2-Hs28SrRNA-5_at	66.3	52	58.1	83.5	63.7	66.8	82		66.3			0	14.3	8.2	17.2	2.6	0.5	15.7			8.2			0	-14.3	-8.2	17.2	-2.6	0.5	15.7			0	-0.193766938	-0.111111111	0.233062331	-0.035230352	0.006775068	0.212737127		1	0.746828537	0.867076496	0.685883363	0.962376233	0.993133753	0.717616902			0	-10.67964808	-7.110027267	11.79719385	-2.502178206	0.496566876	11.26658536
200000_s_at	568.5	686.9	569.3	580.8	859.3	463.8	423.3		569.3			0.8	117.6	0	11.5	290	105.5	146			105.5			-0.8	117.6	0	11.5	290	-105.5	-146			-0.000842549	0.12385466	0	0.012111638	0.305423907	-0.111111111	-0.15376514		0.999156032	0.849471412	1	0.987598553	0.571034854	0.867076496	0.80669165			-0.799324826	99.89783801	0	11.35738336	165.6001077	-91.47657032	-117.7769808
200001_at	336.4	429.8	310.8	382.1	398.3	284.6	274.5		336.4			0	93.4	25.6	45.7	61.9	51.8	61.9			51.8			0	93.4	-25.6	45.7	61.9	-51.8	-61.9			0	0.2003432	-0.054912055	0.098026598	0.132775633	-0.111111111	-0.132775633		1	0.73675277	0.939397027	0.884722177	0.836916659	0.867076496	0.836916659			0	68.81270867	-24.04856388	40.43180348	51.80514122	-44.91456249	-51.80514122
200002_at	3057.4	3194	2349.6	2291.4	3087.7	2585.7	2439		2585.7			471.7	608.3	236.1	294.3	502	0	146.7			294.3			471.7	608.3	-236.1	-294.3	502	0	-146.7			0.178087364	0.229659833	-0.089138068	-0.111111111	0.189526938	0	-0.055385661		0.770605257	0.691222083	0.896444757	0.867076496	0.753293668	1	0.938827884			363.4944999	420.4703928	-211.650607	-255.1806128	378.1534213	0	-137.7260506
200003_s_at	4954.6	5586.5	4035	4108.3	5483.2	4182.3	4535.2		4535.2			419.4	1051.3	500.2	426.9	948	352.9	0			426.9			419.4	1051.3	-500.2	-426.9	948	-352.9	0			0.109159054	0.273626402	-0.130189219	-0.111111111	0.246740064	-0.091850811	0		0.869737446	0.621676223	0.840575406	0.867076496	0.664333937	0.892890496	1			364.7678848	653.568213	-420.4558183	-370.1549561	629.7885722	-315.1010561	0
200004_at	1911.1	2810.1	1741.6	1756	2357.6	1494.7	1441.2		1756			155.1	1054.1	14.4	0	601.6	261.3	314.8			261.3			155.1	1054.1	-14.4	0	601.6	-261.3	-314.8			0.06595229	0.448228941	-0.00612323	0	0.255814942	-0.111111111	-0.133860611		0.925939719	0.352331276	0.993802243	1	0.649971224	0.867076496	0.835377368			143.6132504	371.392398	-14.31075229	0	391.0226885	-226.5670884	-262.9767954
200005_at	1530.3	1892.7	1136.4	1287.3	1755.8	1050.2	1091.4		1287.3			243	605.4	150.9	0	468.5	237.1	195.9			237.1			243	605.4	-150.9	0	468.5	-237.1	-195.9			0.113876002	0.283705891	-0.070715591	0	0.219551057	-0.111111111	-0.09180374		0.863290953	0.605626969	0.920013512	1	0.707022873	0.867076496	0.892952346			209.7797015	366.6465673	-138.830039	0	331.2402162	-205.5838372	-174.9293646
200006_at	2176.3	2541.1	1667.3	1833.2	2407.5	1426.2	1695		1833.2			343.1	707.9	165.9	0	574.3	407	138.2			343.1			343.1	707.9	-165.9	0	574.3	-407	-138.2			0.111111111	0.229249652	-0.053725833	0	0.185984002	-0.131804786	-0.044755335		0.867076496	0.691865024	0.940819276	1	0.758676238	0.838291793	0.951421711			297.4939458	489.7712508	-156.0819179	0	435.7077637	-341.1847598	-131.4864805
