"FirstNode"	"SecondNode"	"score"
"1"	5	6	0.746244131868335
"2"	20	15	0.250610879200533
"3"	20	16	0.208555283688668
"4"	20	780	-0.0228163999106713
"5"	23	41	0.0337833893029474
"6"	23	44	0.460461842744961
"7"	26	25	0.347815733247944
"8"	26	444	0.270621998606863
"9"	26	445	0.207405968580103
"10"	26	446	0.0737951124366735
"11"	26	449	0.267688688017955
"12"	26	507	0.0659016085758311
"13"	26	508	0.112005896221485
"14"	26	509	0.0168635450272067
"15"	34	29	-0.156438864716029
"16"	34	30	-0.0667821866585366
"17"	34	31	-0.157133983799893
"18"	34	32	-0.0719053904472986
"19"	34	33	-0.0852753873891695
"20"	34	35	-0.154041973548889
"21"	34	36	-0.0756059534475697
"22"	34	37	-0.0933909893629411
"23"	34	667	-0.00371749412371736
"24"	34	668	-0.139159585661986
"25"	49	45	0.0775380593501466
"26"	49	46	0.0539109695217924
"27"	49	50	0.0661327003467084
"28"	49	468	0.0742915450150669
"29"	49	511	0.0546439463250942
"30"	49	512	0.0893929110356605
"31"	49	629	0.0793022842830684
"32"	49	1307	0.0134905907390936
"33"	49	1308	0.0302077103332213
"34"	50	47	0.0414090258302296
"35"	50	48	0.382139887574117
"36"	61	58	0.124031288076238
"37"	61	59	0.192416218517382
"38"	61	60	0.170416289754511
"39"	61	594	0.136554078446892
"40"	61	595	0.143177174083513
"41"	61	596	0.145074765676445
"42"	61	597	0.130041896653327
"43"	61	598	0.136963500742527
"44"	61	599	0.13126292740641
"45"	61	1319	0.0922309872161059
"46"	64	66	0.334153582587879
"47"	64	67	0.473111906744522
"48"	64	68	0.323563889474201
"49"	64	69	0.316628972030889
"50"	64	70	0.286357359609235
"51"	64	1290	0.0874587575005829
"52"	64	1291	0.00413073050180385
"53"	71	9	-0.0798643163384167
"54"	71	10	-0.0659857406642019
"55"	71	12	-0.0305408878369001
"56"	71	13	0.150451475744378
"57"	71	14	0.12417621814029
"58"	71	42	0.0681558389027014
"59"	71	58	0.0430812108596511
"60"	71	59	0.0711115304576998
"61"	71	60	0.0585202343944757
"62"	71	130	-0.00411852685881819
"63"	71	131	0.0639756574980726
"64"	71	132	0.0577657237760159
"65"	71	133	0.0345356206648969
"66"	71	148	-0.052858218378383
"67"	71	149	-0.0364385638917505
"68"	71	151	0.112662486248858
"69"	71	152	-0.0588299769617064
"70"	71	153	0.0102679630334067
"71"	71	154	0.0169679874884893
"72"	71	155	-0.0258383401910437
"73"	71	157	0.0338686634610105
"74"	71	185	-0.00501852973899518
"75"	71	186	-0.0180007350850404
"76"	71	187	-0.0549954008913314
"77"	71	188	-0.0177164115375637
"78"	71	189	-0.0372995493274173
"79"	71	190	-0.00452638079675536
"80"	71	229	-0.00873406225621156
"81"	71	230	0.0262667155090559
"82"	71	231	-0.0643180419399158
"83"	71	232	-0.0302526356250923
"84"	71	237	-0.0311801146132069
"85"	71	238	-0.0604915442564199
"86"	71	239	-0.043036532026939
"87"	71	240	-0.0158930339320995
"88"	71	241	-0.00451136367216119
"89"	71	259	0.0807159009052149
"90"	71	263	0.0185497401171285
"91"	71	298	-0.00954166208860492
"92"	71	299	0.0758521916699151
"93"	71	340	0.0523321837600777
"94"	71	341	0.0360466315494929
"95"	71	342	0.0364419073084765
"96"	71	343	0.0665270592171771
"97"	71	344	0.0230145637029761
"98"	71	345	0.0438139947089199
"99"	71	346	0.0580585406638294
"100"	71	347	0.0461985069418318
"101"	71	413	0.0772076658235746
"102"	71	437	0.0765261816752351
"103"	71	438	-0.01780763033667
"104"	71	439	0.092210462811246
"105"	71	444	0.0548325448284717
"106"	71	449	0.0887440699935611
"107"	71	460	0.0417356005158719
"108"	71	461	0.0467038141867003
"109"	71	462	0.0573551294983928
"110"	71	463	0.053609773154501
"111"	71	465	0.10878943205196
"112"	71	466	0.0607631228492754
"113"	71	475	-0.0446596574819489
"114"	71	476	0.0966855629166556
"115"	71	478	-0.018636974068377
"116"	71	479	0.12645681212398
"117"	71	480	0.107095731336611
"118"	71	494	-0.00416890248596893
"119"	71	495	0.00747588763466844
"120"	71	496	-0.0126954053628369
"121"	71	497	0.0427370428839935
"122"	71	506	0.104615912054357
"123"	71	562	0.0185986636501989
"124"	71	594	0.0485256569912948
"125"	71	595	0.0379596040410928
"126"	71	596	0.0209776416550371
"127"	71	597	0.00745241328955446
"128"	71	598	0.0269233279685815
"129"	71	599	0.035827569885503
"130"	71	600	0.00310069636326157
"131"	71	601	0.0150707882000941
"132"	71	602	0.0878666550789868
"133"	71	603	0.0747520282937611
"134"	71	604	-0.0183789049886771
"135"	71	605	0.000973795157833589
"136"	71	606	-0.00119435295000817
"137"	71	607	-0.00072371373745067
"138"	71	636	0.0776452430066214
"139"	71	698	0.00341241325030969
"140"	71	699	0.00963680908076074
"141"	71	700	-0.0186750768062739
"142"	71	702	-0.0119308686576794
"143"	71	743	0.160855852495271
"144"	71	799	0.0434156344756837
"145"	71	800	0.031253930010598
"146"	71	852	-0.0813873469676158
"147"	71	892	0.0653181974647806
"148"	71	893	0.0270010572156446
"149"	71	894	0.0145557479872153
"150"	71	895	0.0315415549787127
"151"	71	896	0.0167187935535082
"152"	71	897	0.00236655625154897
"153"	71	898	0.00512926650792644
"154"	71	899	0.00570849244899419
"155"	71	900	0.0199115360292003
"156"	71	901	0.0220930824649996
"157"	71	902	0.02408910112173
"158"	71	903	0.00795980372965409
"159"	71	904	0.0196178260891191
"160"	71	918	0.146163774264826
"161"	71	919	0.100380457011347
"162"	71	920	0.0588954324212752
"163"	71	921	0.0430579483258671
"164"	71	922	0.0591259291085788
"165"	71	947	0.151729518468792
"166"	71	978	-0.057418002980919
"167"	71	979	-0.0337802521730736
"168"	71	1004	0.0514352442996614
"169"	71	1021	0.022910407791309
"170"	71	1022	0.0877447423584574
"171"	71	1023	0.102454090456929
"172"	71	1062	-0.0419397478277792
"173"	71	1070	-0.0653054001308545
"174"	71	1071	-0.076178748290411
"175"	71	1072	-0.0778260253123392
"176"	71	1074	-0.0877592786634857
"177"	71	1078	-0.0592518999655092
"178"	71	1079	-0.0690543955159863
"179"	71	1081	-0.0596277844122794
"180"	71	1086	0.274392558228601
"181"	71	1088	-0.0683282854269584
"182"	71	1090	-0.0692773586140607
"183"	71	1093	-0.0301549501832358
"184"	71	1094	-0.0559954754849372
"185"	71	1109	-0.0192845295188035
"186"	71	1110	-0.0276032856612289
"187"	71	1111	0.00773593984400229
"188"	71	1112	0.00946672074834544
"189"	71	1113	0.0177483207148417
"190"	71	1114	-0.0369466395743696
"191"	71	1115	0.0166271055148033
"192"	71	1140	-0.00216692793481343
"193"	71	1155	0.0647494594378355
"194"	71	1213	0.0539807055297553
"195"	71	1214	0.0085055719759886
"196"	71	1215	-0.00325346817004644
"197"	71	1237	0.0739104425819788
"198"	71	1238	0.055913053554887
"199"	71	1268	0.0436969875816698
"200"	71	1295	-0.0234996504661919
"201"	71	1309	-0.0194826685307706
"202"	71	1319	0.108502092057845
"203"	71	1331	-0.0221706942726944
"204"	71	1362	0.103549024077994
"205"	82	81	0.0433692462232875
"206"	82	257	0.287094938582846
"207"	82	258	0.335409651157964
"208"	82	295	-0.0902480350009418
"209"	82	297	-0.0469857511311882
"210"	82	474	0.151863306807091
"211"	82	716	0.19087471053976
"212"	82	717	0.319568274064082
"213"	82	718	0.10997363374441
"214"	82	875	0.0307494845750435
"215"	82	876	0.0802248929214207
"216"	82	1042	-0.049914804331388
"217"	82	1359	0.0487413773623251
"218"	83	72	-0.022217949736774
"219"	83	73	0.0720340081763702
"220"	83	74	0.0824709383589337
"221"	83	75	0.196399817404323
"222"	83	76	0.131985572973917
"223"	83	77	-0.0332817982850616
"224"	83	78	0.0788469323899565
"225"	83	79	0.0179215969074885
"226"	83	80	0.0206497661693915
"227"	83	98	0.0126518103589363
"228"	83	99	0.0087258968829044
"229"	83	100	0.0753935388189914
"230"	83	101	0.0964721962346837
"231"	83	102	0.0764105566693135
"232"	83	113	-0.173353205907784
"233"	83	114	-0.179080019635006
"234"	83	115	-0.14545054004972
"235"	83	116	-0.145122699512516
"236"	83	117	-0.189083845324985
"237"	83	158	0.107331730921704
"238"	83	159	0.0842810187077442
"239"	83	507	0.134763862569519
"240"	83	508	0.0613139931878666
"241"	83	509	0.0524830711067215
"242"	83	573	0.018266348588366
"243"	83	574	0.0435926062203333
"244"	83	575	-0.088438177780687
"245"	83	576	-0.0116293378355497
"246"	83	654	0.254306752493772
"247"	83	766	0.10449068310033
"248"	83	907	0.208097628781386
"249"	83	968	0.212789914073486
"250"	83	1029	0.252156953958237
"251"	83	1091	0.319185908707171
